Gm#,Year,Date,Month,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,DATE,OPP,Play,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
3,2016,"Thursday, Apr 7",April,boxscore,WSN,,MIA,L,4,6,,2-1,1,up 0.5,Phelps,Roark,Ramos,3:32,0,"41,650",7-Apr,vs MIA,1,LÊ6-4,3,2,1,0,0,1,1,2,0,0,0,0.5,0.9,1.4,0.3
4,2016,"Sunday, Apr 10",April,boxscore,WSN,,MIA,W,4,2,,3-1,1,up 1.5,Ross,Koehler,Papelbon,2:52,0,"24,593",10-Apr,vs MIA,1,WÊ4-2,3,1,2,2,0,0,1,1,0,0,0,0.556,1,1.556,0.385
5,2016,"Monday, Apr 11",April,boxscore,WSN,,ATL,W,6,4,,4-1,1,up 2.0,Scherzer,Norris,Papelbon,3:05,1,"18,119",11-Apr,vs ATL,1,WÊ6-4,3,1,0,0,0,0,0,2,1,2,0,0.522,0.813,1.335,0.313
6,2016,"Tuesday, Apr 12",April,boxscore,WSN,,ATL,W,2,1,,5-1,1,up 2.0,Treinen,Johnson,Rivero,2:47,1,"18,378",12-Apr,vs ATL,1,WÊ2-1,4,0,1,1,0,0,2,0,0,0,0,0.481,0.75,1.231,0.3
7,2016,"Wednesday, Apr 13",April,boxscore,WSN,,ATL,W,3,0,,6-1,1,up 3.0,Roark,Wisler,Papelbon,2:12,1,"19,400",13-Apr,vs ATL,1,WÊ3-0,4,0,0,0,0,0,0,0,2,0,0,0.419,0.625,1.044,0.25
8,2016,"Thursday, Apr 14",April,boxscore,WSN,,ATL,W,6,2,,7-1,1,up 3.0,Strasburg,Teheran,,2:29,0,"21,144",14-Apr,vs ATL,1,WÊ6-2,4,1,1,0,0,1,4,0,0,0,0,0.4,0.679,1.079,0.25
16,2016,"Friday, Apr 22",April,boxscore,WSN,,MIN,W,8,4,,12-4,1,up 3.5,Gonzalez,Gibson,,2:51,1,"27,684",22-Apr,vs MIN,1,WÊ8-4,4,1,0,0,0,0,0,1,1,0,0,0.391,0.789,1.18,0.298
17,2016,"Saturday, Apr 23",April,boxscore,WSN,,MIN,W,2,0,,13-4,1,up 3.5,Roark,Hughes,Papelbon,2:39,0,"35,974",23-Apr,vs MIN,1,WÊ2-0,4,1,2,2,0,0,0,0,1,0,0,0.397,0.803,1.2,0.311
18,2016,"Sunday, Apr 24",April,boxscore,WSN,,MIN,W-wo,6,5,16,14-4,1,up 3.5,Perez,Tonkin,,5:56,0,"35,397",24-Apr,vs MIN,1,WÊ6-5,1,1,1,0,0,1,1,0,0,0,0,0.405,0.855,1.26,0.323
19,2016,"Tuesday, Apr 26",April,boxscore,WSN,,PHI,L,3,4,,14-5,1,up 2.0,Velasquez,Perez,Gomez,3:25,1,"25,097",26-Apr,vs PHI,1,LÊ4-3,2,0,1,0,0,0,1,3,0,0,0,0.43,0.844,1.274,0.328
20,2016,"Wednesday, Apr 27",April,boxscore,WSN,,PHI,L,0,3,,14-6,1,up 1.0,Hellickson,Gonzalez,Gomez,2:59,1,"24,186",27-Apr,vs PHI,1,LÊ3-0,2,0,0,0,0,0,0,2,1,1,0,0.434,0.818,1.252,0.318
21,2016,"Thursday, Apr 28",April,boxscore,WSN,,PHI,L,0,3,,14-7,1,up 0.5,Araujo,Rivero,Gomez,2:59,0,"22,112",28-Apr,vs PHI,1,LÊ3-0,4,0,1,0,0,0,0,0,2,1,0,0.425,0.786,1.211,0.314
32,2016,"Monday, May 9",May,boxscore,WSN,,DET,W-wo,5,4,,20-12,2,0.5,Kelley,Lowe,,2:57,1,"27,153",9-May,vs DET,1,WÊ5-4,2,0,0,0,0,0,0,2,1,0,0,0.434,0.62,1.054,0.26
33,2016,"Tuesday, May 10",May,boxscore,WSN,,DET,L,4,5,,20-13,2,0.5,Fulmer,Ross,Rodriguez,3:16,1,"24,476",10-May,vs DET,1,LÊ5-4,3,1,0,0,0,0,0,2,2,0,0,0.433,0.602,1.035,0.252
34,2016,"Wednesday, May 11",May,boxscore,WSN,,DET,W,3,2,,21-13,2,0.5,Scherzer,Zimmermann,,2:38,1,"35,695",11-May,vs DET,1,WÊ3-2,3,0,2,0,0,0,0,1,1,0,1,0.441,0.604,1.045,0.264
35,2016,"Friday, May 13",May,boxscore,WSN,,MIA,W,5,3,,22-13,1,up 1.0,Treinen,Barraclough,Papelbon,3:19,1,"28,232",13-May,vs MIA,1,WÊ5-3,2,1,2,0,0,1,2,2,0,0,0,0.456,0.639,1.095,0.278
36,2016,"Saturday, May 14 (1)",May,boxscore,WSN,,MIA,W,6,4,,23-13,1,up 1.0,Strasburg,Nicolino,Papelbon,3:22,0,"28,634",14-May,vs MIA,1,WÊ6-4,2,1,0,0,0,0,0,3,0,1,0,0.461,0.627,1.088,0.273
